trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
29,False,"{'a': 0.32754511510156326, 'e': 0.5355029667371046}",20,6,-14.040918331752943,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
30,False,"{'a': 0.33426966395054764, 'e': 0.5182469771455618}",20,0,-63.51107271047884,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.34092696731104216, 'e': 0.5012098883077505}",20,12,-4.5563282471346405,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.3475176976379317, 'e': 0.48441029054911533}",20,4,-47.750541464756814,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.3540425206615524, 'e': 0.46786532415172577}",25,7,-24.32968728517961,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
34,False,"{'a': 0.3605020954549369, 'e': 0.4515906977030172}",25,7,-90.32756758663469,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 3}",1
35,False,"{'a': 0.3668970745003875, 'e': 0.43560071130367195}",30,8,-41.48843629541726,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
36,False,"{'a': 0.3732281037553836, 'e': 0.419908284224081}",30,3,-64.40342366652473,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 2}",1
37,False,"{'a': 0.3794958227178298, 'e': 0.40452498659993286}",20,5,-31.69884737533211,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
38,False,"{'a': 0.3857008644906515, 'e': 0.38946107476122643}",20,11,9.581466364761196,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.391843855845745, 'e': 0.37472552979517093}",20,6,-7.733791795506553,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.39792541728728753, 'e': 0.36032609895179324}",20,0,18.267286661789818,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.40394616311441467, 'e': 0.34626933951139083}",20,7,8.620505317465453,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
